Sign,0°,1°,2°,3°,4°,5°,6°,7°,8°,9°,10°,11°,12°,13°,14°,15°,16°,17°,18°,19°,20°,21°,22°,23°,24°,25°,26°,27°,28°,29°
Aries,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun
Taurus,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer
Gemini,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon
Cancer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat
Leo,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven
Virgo,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon
Libra,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer
Scorpio,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun
Sagittarius,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars
Capricorn,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup
Aquarius,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup
Pisces,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars,Sun,Ven,Mer,Moon,Sat,Jup,Mars
