# sefstars.txt — minimal 30-star catalog for astrologica.
# Extracted from Swiss Ephemeris upstream sefstars.txt (Astrodienst).
# Star positions and motions are J2000 / ICRS — public astronomical data.
Aldebaran         ,alTau,ICRS,04,35,55.23907,+16,30,33.4885,63.45,-188.94,54.26,48.94,0.86, 16,  629
Algol             ,bePer,ICRS,03,08,10.13245,+40,57,20.3280,2.99,-1.66,4,36.27,2.12, 40,  673
Alamak            ,ga-1And,ICRS,02,03,53.9531,+42,19,47.009,43.08,-50.85,-11.7,9.19,2.1, 41,  395
EtaTau            ,etTau,ICRS,03,47,29.07655,+24,06,18.4883,19.34,-43.67,5.4,8.09,2.87, 23,  541
Antares           ,alSco,ICRS,16,29,24.45970,-26,25,55.2094,-12.11,-23.3,-3.5,5.89,0.91,-26,11359
Arcturus          ,alBoo,ICRS,14,15,39.67207,+19,10,56.6730,-1093.39,-2000.06,-5.19,88.83,-0.05, 19, 2777
AsellusAustralis  ,deCnc,ICRS,08,44,41.09921,+18,09,15.5034,-17.67,-229.26,17.14,24.98,3.94, 18, 2027
AsellusBorealis   ,gaCnc,ICRS,08,43,17.14820,+21,28,06.6008,-103.51,-39.48,28.7,18,4.652, 21, 1895
Alkaid            ,etUMa,ICRS,13,47,32.43776,+49,18,47.7602,-121.17,-14.91,-13.4,31.38,1.86, 50, 2027
Betelgeuse        ,alOri,ICRS,05,55,10.30536,+07,24,25.4304,27.54,11.3,21.91,6.55,0.42, 07, 1055
AlphaCentauri     ,alCen,ICRS,14,39,36.204,-60,50,08.23,-3608,686,-22.3,742,-0.1,-60, 5483
Canopus           ,alCar,ICRS,06,23,57.10988,-52,41,44.3810,19.93,23.24,20.3,10.55,-0.74,-52,  914
Castor            ,alGem,ICRS,07,34,35.87319,+31,53,17.8160,-191.45,-145.19,5.4,64.12,1.58, 32, 1581
Denebola          ,beLeo,ICRS,11,49,03.57834,+14,34,19.4090,-497.68,-114.67,-0.2,90.91,2.13, 15, 2383
Fomalhaut         ,alPsA,ICRS,22,57,39.04625,-29,37,20.0533,328.95,-164.67,6.5,129.81,1.16,-30,19370
Alphecca          ,alCrB,ICRS,15,34,41.26800,+26,42,52.8940,120.27,-89.58,1.7,43.46,2.24, 27, 2512
Markab            ,alPeg,ICRS,23,04,45.65345,+15,12,18.9617,60.4,-41.3,-2.7,24.46,2.48, 14, 4926
Mirach            ,beAnd,ICRS,01,09,43.92388,+35,37,14.0075,175.9,-112.2,0.06,16.52,2.05, 34,  198
Polaris           ,alUMi,ICRS,02,31,49.09456,+89,15,50.7923,44.48,-11.85,-16.42,7.54,2.02, 88,    8
Pollux            ,beGem,ICRS,07,45,18.94987,+28,01,34.3160,-626.55,-45.8,3.23,96.54,1.14, 28, 1463
Praesepe          ,M44,2000,08,40,6.000,19,59,0.00,0.000,   0.00,  0.0,5.65,3.7,  0,    0
Procyon           ,alCMi,ICRS,07,39,18.11950,+05,13,29.9552,-714.59,-1036.8,-3.2,284.56,0.37, 05, 1739
Regulus           ,alLeo,ICRS,10,08,22.31099,+11,58,01.9516,-248.73,5.59,5.9,41.13,1.4, 12, 2149
Rigel             ,beOri,ICRS,05,14,32.27210,-08,12,05.8981,1.31,0.5,17.8,3.78,0.13,-08, 1063
Sirius            ,alCMa,ICRS,06,45,08.91728,-16,42,58.0171,-546.01,-1223.07,-5.5,379.21,-1.46,-16, 1591
Spica             ,alVir,ICRS,13,25,11.57937,-11,09,40.7501,-42.35,-30.67,1,13.06,0.97,-10, 3672
Unukalhai         ,alSer,ICRS,15,44,16.07431,+06,25,32.2633,133.84,44.81,2.63,44.1,2.63, 06, 3088
Vega              ,alLyr,ICRS,18,36,56.33635,+38,47,01.2802,200.94,286.23,-20.6,130.23,0.03, 38, 3238
Zubenelgenubi     ,al-2Lib,ICRS,14,50,52.71309,-16,02,30.3955,-105.68,-68.4,-10,43.03,2.75, -15, 3966
Zubeneshamali     ,beLib,ICRS,15,17,00.41382,-09,22,58.4919,-98.1,-19.65,-35.6,17.62,2.62,-08, 3935
